Company,Model,Variant,Ex-Showroom_Price,Energy_source(cc/kwh),Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Type,Seating_Capacity,Seats_Material,Cylinders,Cylinder_Configuration,Engine_Location,Height,Length,Width,Body_Type,Power_Value,Power_Unit,Power_RPM,Torque_Value,Torque_Unit,Torque_RPM_Min
Maruti Suzuki,Xl6,Zeta Mt,984689,1462,FWD (Front Wheel Drive),45.0,Petrol,Manual,6,Fabric,4,In-line,"Front, Transverse",1700,4445,1775,MPV,104,PS,6000.0,138.0,NM,4400.0
Maruti Suzuki,Xl6,Alpha Mt,1041189,1462,FWD (Front Wheel Drive),45.0,Petrol,Manual,6,Fabric,4,In-line,"Front, Transverse",1700,4445,1775,MPV,104,PS,6000.0,138.0,NM,4400.0
Maruti Suzuki,Xl6,Zeta At,1094689,1462,FWD (Front Wheel Drive),45.0,Petrol,Automatic,6,Fabric,4,In-line,"Front, Transverse",1700,4445,1775,MPV,104,PS,6000.0,138.0,NM,4400.0
Maruti Suzuki,Xl6,Alpha At,1151189,1462,FWD (Front Wheel Drive),45.0,Petrol,Automatic,6,Fabric,4,In-line,"Front, Transverse",1700,4445,1775,MPV,104,PS,6000.0,138.0,NM,4400.0
Fiat,Abarth Avventura,1.4 T-Jet,989219,1368,FWD (Front Wheel Drive),45.0,Petrol,Manual,5,Leather,4,In-line,"Front, Transverse",1542,3983,1706,Crossover,143,PS,5500.0,210.0,NM,2000.0
Mahindra,Tuv300 Plus,P4,992748,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,9,Leather,3,In-line,"Front, Longitudinal",1812,4400,1835,SUV,120,PS,4000.0,280.0,NM,1800.0
Mahindra,Tuv300 Plus,P6,1029650,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,9,Leather,3,In-line,"Front, Longitudinal",1812,4400,1835,SUV,120,PS,4000.0,280.0,NM,1800.0
Mahindra,Tuv300 Plus,P8,1142157,2179,RWD (Rear Wheel Drive),60.0,Diesel,Manual,9,Leather,3,In-line,"Front, Longitudinal",1812,4400,1835,SUV,120,PS,4000.0,280.0,NM,1800.0
Mahindra,Marazzo,M2 7 Str,999900,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M4 7 Str,1156471,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M6 7 Str,1308592,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M8 7 Str,1468440,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M2 8 Str,999900,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,8,Fabric,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M4 8 Str,1164569,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,8,Fabric,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M6 8 Str,1316690,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,8,Fabric,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Marazzo,M8 8 Str,1476538,1497,FWD (Front Wheel Drive),45.0,Diesel,Manual,8,Leather,4,In-line,"Front, Transverse",1774,4585,1866,MPV,121,BHP,3500.0,300.0,NM,1750.0
Mahindra,Scorpio,S3 2Wd,999994,2523,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Vinyl,4,In-line,"Front, Longitudinal",1930,4456,1820,SUV,75,PS,3200.0,200.0,NM,1400.0
Mahindra,Scorpio,4Wd Getaway,1236258,2179,4WD,80.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Longitudinal",1874,5118,1850,SUV,121,PS,4000.0,280.0,NM,1800.0
Mahindra,Scorpio,2Wd Getaway,1123158,2179,RWD (Rear Wheel Drive),80.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Longitudinal",1874,5118,1850,SUV,121,PS,4000.0,280.0,NM,1800.0
Mahindra,Scorpio,S5 2Wd,1220030,2179,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Fabric,4,In-line,"Front, Longitudinal",1995,4456,1820,SUV,120,PS,4000.0,280.0,NM,1800.0
Mahindra,Scorpio,S7 120 2Wd,1330006,2179,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Fabric,4,In-line,"Front, Longitudinal",1995,4456,1820,SUV,120,PS,4000.0,280.0,NM,1800.0
Mahindra,Scorpio,S7 140 2Wd,1360668,2179,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Fabric,4,In-line,"Front, Longitudinal",1995,4456,1820,SUV,140,PS,3750.0,320.0,NM,1500.0
Mahindra,Scorpio,S11 2Wd,1540081,2179,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Fabric,4,In-line,"Front, Longitudinal",1995,4456,1820,SUV,140,PS,3750.0,320.0,NM,1500.0
